Topic,Count,Name,Representation,Representative_Docs
9,109,9_hormuzi_irán_globális_olaj,"['hormuzi', 'irán', 'globális', 'olaj', 'szoros', 'iráni', 'hormuzi szoros', 'világ', 'háború', 'tengeri']","['válság a hormuzi-szorosban: így hajtja fel az iráni konfliktus az olajárakat – ezt magyarország is megérezheti a perzsa-öblöt az ománi-öböllel összekötő hormuzi-szoros stratégiai jelentősége óriási: a világ egyik legfontosabb kőolaj- és gázexporti útvonala, amelyen keresztül a globális tengeri olajszállítás akár ötöde is áthalad. nem véletlen, hogy amikor a térségben katonai feszültség robban ki, az azonnal', 'totális blokád a hormuzi-szorosban: ezért olyan fontos a titokzatos tengeri átjáró a hormuzi-szoros a globális olajkereskedelem egyik legfontosabb útvonala. a stratégiai jelentőségű tengeri átjárót északon irán, délen pedig az egyesült arab emírségek és omán határolja. a perzsa-öböl menti olajexportálók többsége számára nincs alternatív tengeri kijárat árujuk számára, így a térség', 'a hormuzi-szoros lezárása brutális olajár-emelkedést hozott, és ez még csak a kezdet a hormuzi-szoros a világ egyik legszűkebb tengeri átjárója, emellett pedig a geopolitikai feszültségek és az olajárakat befolyásoló tényezők gyűjtőpontja is. a világszerte szállított olaj mintegy 20 százaléka, többek között szaúd-arábiából, az egyesült arab emírségekből, irakból, kuvaitból és iránbó']"
10,98,10_baleset_történt_tűz_meghaltak,"['baleset', 'történt', 'tűz', 'meghaltak', 'ember', 'ütközött', 'jármű', 'vesztette', 'autó', 'életét']","['halálos tragédia történt révkomáromban, leomlott egy épület bejárata borzasztó baleset történt észak-komárom (révkomárom) egyik legforgalmasabb részén, a hatóságok már vizsgálják a történteket. egy irodaépület tetőszerkezete omlott le teljesen váratlanul, egy ember életét vesztette. egy ember életét vesztette a tragédiában. forrás: polícia sr a kertész utcában találh', 'tragikus baleset budapesten: lezuhant egy autó az árpád hídnál a felüljáróról, ketten meghaltak ketten meghaltak, miután öt autó ütközött budapesten, a váci út és a róbert károly körút kereszteződésében péntek este – közölte a rendőrség a police.hu oldalon.\n\na baleset a göncz árpád városközpontnál álló felüljáróján történt, amelyről az egyik jármű lezuhant. a helyszínen egy ember életét veszte', 'brutális halálos baleset budapesten: 5 autó ütközött, egy a felüljáróról a mélybe zuhant ketten meghaltak, miután öt autó ütközött budapesten, a váci út és a róbert károly körút kereszteződésében péntek este - közölte a a baleset részleteit a rendőrség a police.hu oldalon.\n\na baleset a göncz árpád városközpontnál álló felüljáróján történt, amelyről az egyik jármű lezuhant.\n\na helyszínen']"
11,89,11_keresztény_leó_húsvéti_szent,"['keresztény', 'leó', 'húsvéti', 'szent', 'húsvét', 'xiv leó', 'xiv', 'unokáival', 'muszlim', 'york']","['nagypéntek: a húsvét előtti nap, amelynek titkát sokan nem ismerik 2026-ban április 3-ra, esik a nagypéntek. ez a keresztény liturgia szerint a húsvéti szent háromnap második napja, amikor a hívők nem ünnepelnek látványosan, inkább elcsendesednek, visszafogják magukat, és jézus áldozatára emlékeznek. a templomokban ezen a napon különleges szertartást tartanak, a né', 'a béke erejét hirdette xvi. leó pápa húsvétvasárnapi beszédében „ hallattassuk meg a béke iránti, szívből szóló kiáltást! ” – mondta xiv. leó pápa, aki vasárnap délelőtt a szent péter téri szabadtéri oltárnál mutatott be misét, majd délben a bazilika központi lodzsájáról olvasta fel olasz nyelvű húsvéti beszédét.\n\ntavalyi megválasztása óta ez volt az első húsvét', 'xiv. leó pápa nem hallgatott: brutális igazság a háborúról a szertartás a szent péter tér közepén álló obeliszknél kezdődött, ahol xiv. leó megáldotta a jézus jeruzsálemi bevonulását jelképező olajfaágakat és pálmaleveleket. ezeket tartották kézben bíborosok, püspökök, az egyház más tagjai és a hívők is.\n\na szent péter-bazilika előtti szabadtéri oltárnál mo']"
12,86,12_hankó balázs_hankó_balázs_egyetem,"['hankó balázs', 'hankó', 'balázs', 'egyetem', 'hun', 'hun ren', 'ren', 'kultúráért', 'oktatási', 'alapítvány']","['hankó balázs nagy bejelentést tett kistarcsán – országos mintaprojekt indulhat az egészségügyben együttműködési megállapodást írt alá a semmelweis egyetem és a kistarcsai flór ferenc kórház, amellyel az egész ország számára mintául szolgáló modell jöhet létre – mondta a kulturális és innovációs minisztérium vezetője kistarcsán csütörtökön.\n\nhankó balázs a flór ferenc-kórházban tartott eseményen', 'újabb robotolimpiát rendezne magyarország öt év múlva magyarország újra megrendezné a world robot olympiad döntőjét - jelentette ki a hankó balázs egerben, a heves vármegyei szakképzési centrum szervezésében megrendezett robotech challenge day megnyitóján. hankó balázs kultúráért és innovációért felelős miniszter (fotó: mti/kovács attila) a', 'hankó balázs: kőszegen lesz az új ensz-egyetem a kormány és az országgyűlés döntésének köszönhetően új united nations university intézmény jön létre magyarországon - közölte hankó balázs kultúráért és innovációért felelős miniszter kedden a facebook-oldalán. forrás: bartos gyula / \xa0 facebook hankó balázs a videóban azt mondta: kőszegen a felsőfo']"
13,73,13_elhunyt_meghalt_korában_chuck,"['elhunyt', 'meghalt', 'korában', 'chuck', 'norris', 'chuck norris', 'hunyt', 'legendás', 'alakja', 'halála']","['chuck norris halála után megszólalt a testőre – sokkoló részletek derültek ki chuck norris halála az egész világot megrázta, a legendás akcióhős elvesztése után pedig sorra érkeznek a személyes visszaemlékezések. a család közlése szerint a színész 2026. március 19-én hunyt el 86 éves korában, szerettei körében – írja a tmz .\n\na tmz live műsorában megszólalt tom jones, chuck n', 'chuck norris és orbán viktor nagyon bírták egymást ahogy arról a mandiner is beszámolt , 86 éves korában elhunyt chuck norris. a világhírű amerikai színész és legendás harcművész több szálon is kötődik magyarországhoz.\n\nfeleségével együtt régóta támogatta a magyar baptista szeretetszolgálatot.\n\n2021-ben videóban köszöntötték a szervezetet 25. szület', 'meghalt chuck norris elhunyt chuck norris, a színész instagram-oldalán a következő bejegyzést tette közzé a családja: „nehéz szívvel osztja meg családunk, hogy szeretett chuck norrisunk tegnap reggel váratlanul elhunyt. bár szeretnénk a körülményeket magunkban tartani, mégis tudatjuk mindenkivel: családja körében volt,']"
14,72,14_termék_termékek_fogyasztóvédelmi_hatóság,"['termék', 'termékek', 'fogyasztóvédelmi', 'hatóság', 'élelmiszer', 'üzlet', 'mérgező', 'terméket', 'kereskedelmi', 'termékeket']","['egészségre veszélyes élelmiszer került magyarországi forgalomba, ne egye meg! egészségre potenciálisan veszélyes élelmiszer termékek miatt figyelmeztet a nemzeti élelmiszerlánc-biztonsági hivatal (nébih) . a paco márkájú csomagolt mazsolák egyes kiszereléseiben növényvédőszer-maradékot mutattak ki. a visszahívást a termék gyártója kezdeményezte.\n\ntermék neve: paco mazsola\n\npr', 'mérgező édességek kerültek a hazai boltokba. ne egye meg őket! a vállalkozás által megtett intézkedéseket, továbbá a visszagyűjtött termékek további sorsát a hatóság felügyeli. a mondelez hungária kft. tájékoztatása alapján a termék vételárát a vásárlás helyén visszatérítik.\n\na penész mikroszkopikus gombákból áll, amelyek élelmiszereken is megtelepedhetnek. nem', 'a magyarok egyik kedvenc édességét hívták vissza a boltok polcairól a mondelez hungária kft. a dörmi tejes krémmel töltött puha piskóta megnevezésű termék fogyasztói visszahívását kezdeményezte, mivel lengyelországban a termék több tételében penész jelenlétét azonosították – közölte a nemzeti kereskedelmi és fogyasztóvédelmi hatóság (nkfh) az mti-vel hétfőn.\n\naz nkf']"
15,69,15_kutya_állatok_állat_farkas,"['kutya', 'állatok', 'állat', 'farkas', 'kutyák', 'írja', 'közelében', 'különleges', 'eltűnt', 'téli']","['kamu volt a megható sztori: kiderült az igazság a kínai kutyás videóról a felvétel március 15-én készült a kínai csilin tartományban, csangcsun közelében, és rövid idő alatt több tízmilliós nézettséget ért el. a videón hét kutya látható, amint együtt haladnak az út szélén, a közösségi médiában pedig gyorsan elterjedt az a narratíva, hogy a kutyafalka egy húsüzembe tartó', 'hihetetlen történet kínából: hét kutya megszökött, majd 20 kilométert gyalogoltak haza március 15-én kezdtek el terjedni a felvételek a kínai közösségi oldalakon: a hét tagból álló kutyafalka fegyelmezetten haladt egymás mögött az autópálya szélén, a csangcsun város környéki területeken. a látvány sokakat megdöbbentett. a posztok szerint az állatok nem kóbor ebeknek tűntek – inkább eg', 'megvan a kutyatámadás gyanúsítottja – 3 hónapos csecsemő az áldozat a kutyatámadás – amelyről az origo is beszámolt – az észak-angliai redcar térségében történt csütörtök délután egy családi házban. a három hónapos kislány éppen egy ismerősnél tartózkodott, amikor az állat rátámadt. a gyermek életét már nem tudták megmenteni – számolt be a daily mail .\n\na rendőrség']"
16,69,16_férfit_férfi_felvétel_rendőr,"['férfit', 'férfi', 'felvétel', 'rendőr', 'kényszersorozásról', 'kényszersorozás', 'rendőrség', 'látható', 'utcán', 'tck']","['a hozzátartozója szeme láttára hurcoltak el egy férfit ukrajnában kényszersorozás az utcán. az eset a nyugat-ukrajnai ivano-frankivszk városában történt. a felvételen több egyenruhás férfi – a toborzásért felelős területi hadkiegészítő központ, a tck munkatársai – egy civilt kísérnek egy járműhöz, majd erőszakkal betuszkolják az autóba.\n\na jelenetet egy nő is végi', 'sehol sincs biztonság: otthonról hurcolták el a sorozók áldozatukat újabb felvétel jelent meg a közösségi médiában az ukrán kényszersorozásról. a telegramon közzétett videó szerint odessza egyik lakótelepén több toborzó katona egy férfit erőszakkal vonszolt el, valószínűleg éppen az otthonából.\n\na felvételen az látható, hogy a férfit többen körbefogják, majd egy köz', 'egy egész csapat állt lesben odesszában - megrázó videó a kényszersorozásról az odesszában készült videó az ukrajnai kényszersorozás újabb szörnyű valóságát mutatja meg. a felvételen az látható, hogy több egyenruhás férfi egy autószervizből hurcol el kényszerrel egy férfit. odesszából került elő egy újabb megdöbbentő felvétel a kényszersorozásról (képernyőfotó: telegram)']"
17,63,17_találtak_felfedezés_holttestét_találták,"['találtak', 'felfedezés', 'holttestét', 'találták', 'régészeti', 'bukkantak', 'került', 'holttestet', 'eltűnt', 'emberi']","['elképesztő felfedezés – egy 2000 éves templom vezetett a nyomra a régészeti felfedezés a dániai hedegård területén történt, ahol a kutatók már korábban is különösen gazdag vaskori temetkezési helyeket találtak. az új ásatás azonban egészen rendkívüli eredményt hozott: egy monumentális templom maradványait tárták fel, amely egykor a térség vallási és politikai él', 'szenzációs felfedezés: több ezer éves kincset találtak a walesi nemzeti múzeum közlése szerint két, a római korból származó ólomrudat találtak. a leletek különlegessége, hogy a régióban eddig nem került elő hasonló tárgy. a felfedezés új információkkal szolgálhat a térség ókori múltjáról – számolt be a cbs news.\n\nritka, közel kétezer éves római kori lel', 'sokkoló régészeti felfedezés: brutális erőszak nyomaira bukkantak nem mindennapi régészeti felfedezés borzolja a kedélyeket az egyesült királyságban: egy viking kori kivégzőgödörre bukkantak a cambridge környéki wandlebury country parkban. a university of cambridge hallgatói és régészei szerint a mintegy 1 200 éves lelet az ősi erőszak és határkonfliktus nyomait ő']"
18,58,18_repülőgép_gép_fedélzeten_repülőtéren,"['repülőgép', 'gép', 'fedélzeten', 'repülőtéren', 'baleset', 'járata', 'air', 'utasok', 'lezuhant', 'new']","['most érkezett: lezuhant egy repülőgép, 54 ember meghalt – döbbenetes videó a repülőgép-baleset 2026. március 23-án, hétfőn történt putumayo tartományban, peru határának közelében. a lockheed martin c-130 hercules típusú katonai gép egy incidens részese volt a felszállást követően, a kolumbiai védelmi miniszter pedig azt közölte: minden érintett számára elindították a szüks', 'lezuhant egy repülőgép, csak 3 órával később vették észre, hogy eltűnt lezuhant egy kisrepülő missouri államban a spirit of st. louis repülőtér közelében. a gép másodpercekkel a felszállás után hirtelen veszített a magasságából, a kifutópálya végére zuhant és kigyulladt. a repülőgép-balesetben egy ember – a pilóta – életét vesztette – írja a new york post.\n\naz aero com', 'mentőjárműnek rohant egy repülő – vészhelyzet miatt leállt a reptér vasárnap este repülőgép-baleset történt a new york-i laguardia repülőtéren, ahol egy air canada regionális járata összeütközött egy repülőtéri mentőjárművel – tájékoztat a new york post .\n\na montrealból érkező bombardier crj-900 típusú repülőgép helyi idő szerint 23:40 előtt a 4-es kifutópályán hala']"
19,57,19_bank_nav_jegybank_nemzeti bank,"['bank', 'nav', 'jegybank', 'nemzeti bank', 'magyar nemzeti', '25', 'forint', 'mnb', 'szja', 'mbh']","['meglépte a jegybank, elkezdett csökkenni az alapkamat váratlan döntést hozott a jegybank: csaknem másfél év után ismét csökkentett az alapkamat mértékén a magyar nemzeti bank (mnb). a varga mihály jegybankelnök vezette monetáris tanács kedden 25 bázisponttal csökkentette az irányadó ráta mértékét, ezzel\n\n2024. szeptembere után 6,25 százalékra csökkent', 'varga mihály elárulta: leveszi a gázról a lábát a jegybank, marad az óvatosság nem kezd kamatcsökkentési ciklusba a jegybank, továbbra is adatvezérelt marad a döntéshozatal – mondta varga mihály, a magyar nemzeti bank elnöke, azután, hogy kedden 25 bázisponttal, 6,25 százalékra csökkentette a jegybank monetáris tanácsa az alapkamat mértékét.\n\nösszhangban alakultak a kedvező in', 'döntött a jegybank: ez mindenkire hatással van a magyar nemzeti bank (mnb) monetáris tanácsa 25 bázisponttal 6,25 százalékra csökkentette a jegybanki alapkamatot, és a kamatfolyosó két szélét is ilyen mértékben vitte lejjebb – jelentette be a jegybank kedden. az egynapos (o/n) betéti kamat 5,25 százalékra, a kamatfolyosó felső széle, az egynapos']"
20,51,20_ára_benzin_bruttó_gázolaj,"['ára', 'benzin', 'bruttó', 'gázolaj', 'üzemanyagárak', 'forinttal', 'holtankoljak', 'nagykereskedelmi', 'árak', 'németországban']","['figyelem, így változnak holnaptól az üzemanyagárak emelkednek kedden az üzemanyag nagykereskedelmi árak: a benzin esetében bruttó 4 forintos emelésre lehet számítani, míg a gázolaj ára bruttó 5 forinttal kerül majd többe - jelezte friss bejegyzésében a holtankoljak.hu . a portál adatai szerint a múlt heti árváltozások után hétfőn még a következő ára', 'bekövetkezett, amitől féltünk: mutatjuk az új benzinárakat! magyarországon a benzin nagykereskedelmi ára bruttó 5 forinttal, a gázolaj ára bruttó 8 forinttal drágul március 5-én – derül ki a holtankoljak.hu előrejelzéséből.\n\na 95-ös benzin 571 ft/liter, míg a gázolaj 600 ft/liter lesz csütörtöktől.\n\na portfolio emlékeztet: hétfőn egyetlen nap alatt jelentős', 'nincs megállás: tovább drágul a benzin és a gázolaj, ennyivel fizetünk többet holnaptól a kutakon csütörtökön is folytatódik az üzemanyagárak emelkedése a hazai kutakon. a benzin nagykereskedelmi ára bruttó 5 forinttal, a gázolaj ára bruttó 8 forinttal kúszik feljebb – írta a holtankoljak.hu\n\naz elmúlt napok eseményei alapján nem várható, hogy a drágulás lassulna vagy megállna, sőt, ellenkezőleg']"
